機種,故障内容,原価,送料,利益率
Xperia 10 II,画面交換（互換）,未対応,440,0.7
Xperia 10 II,画面交換（再生品）,"12,168",440,0.7
Xperia 10 II,バッテリー交換,841,440,0.8
Xperia Ace II,画面交換（互換）,未対応,440,0.7
Xperia Ace II,画面交換（再生品）,"1,943",440,0.7
Xperia Ace II,バッテリー交換,814,440,0.8
Xperia 1 III,画面交換（互換）,未対応,440,0.7
Xperia 1 III,画面交換（再生品）,"33,787",440,0.7
Xperia 1 III,バッテリー交換,814,440,0.8
Xperia 5 III,画面交換（互換）,未対応,440,0.7
Xperia 5 III,画面交換（再生品）,"21,225",440,0.7
Xperia 5 III,バッテリー交換,814,440,0.8
